,Baglan Generation Ltd,Barking Power,Beaufort Wind Ltd,Bares of Doune Windfarm,British Energy,Cemmaes Windfarm Ldt,Centrica,Citigen (London) UK Ltd,Cold Northcott Windfarm Ltd,Corby Power Ltd,Cory Energy Company Ltd,Derwent Cogeneration,Dong Energy,Drax Power Ltd,EDF Energy,EDF Energy Renewable,Eggborough Power Ltd,EPR Ely Limited,E.On UK,Fenland Windfarms Ltd,Fred Olsen,GDF Suez,Great Orton Windfarm Ltd,HG Capital,High Hedley Hope Wind Ltd,Infinis Windfarm,Immingham CHP LLP,International Power/Mitsui,Kirkheaton Wind Ltd,K/S Winscales,Llangwyryfon Windfarm Ltd,Magnox North Ltd,Marchwood Power Limited,Px Limited,RES-Gen Ltd,RGS Energy Ltd,Rocksavage Power Co. Ltd,RWE Npower Plc,Npower Renewables Ltd,Scottish and Southern Hydro Schemes: Affric/Beauly,Breadalbane,Conon,Great Glen,Shin,Sloy/Awe,Tummel,Wind,Small Hydros,Thermal,Thermal (continued),Scottish Power Hydro schemes: Galloway,Lanark,Cruachan Thermal,Seabank Power Limited,Sembcorp Utilities (UK) Ltd,Spalding Energy Company Ltd,Statkraft Energy Ltd,Talisman Energy,Vattenfall Wind Power,Western Power Generation,Yorkshire Windpower Ltd,Distributed Generation
0,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,1153999.95,979658.6161060727,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,1153999.95,1318590.819555009,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,1153999.95,229560.1833267216,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,367610.60899663105,0.0,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,884981.3525210752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,998635.6515634826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,957365.3935475659,0.0,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,610124.8096714367,0.0,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,1153999.95,1306701.5354229829,0.0,0.0,0.0,1145340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,588749.95,949999.95,0.0,0.0,7073730.0,0.0,3771149.95,0.0,0.0,440849.95,779999.95,281899.95,0.0,0.0,779999.95,0.0,0.0,473440.0,3327619.95,0.0,0.0,1693749.95,0.0,0.0,0.0,0.0,1153999.95,1544999.95,0.0,0.0,0.0,1145340.0,715700.0,0.0,0.0,0.0,788499.95,1871719.484520118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
