Busbars,CCGT_Derated_Capacity_kW,OCGT_Derated_Capacity_kW,Coal_Derated_Capacity_kW,Nuclear_Derated_Capacity_kW,Wind Offshore_Derated_Capacity_kW,Wind Onshore_Derated_Capacity_kW,Solar_Derated_Capacity_kW,Hydro_Derated_Capacity_kW,Biomass_Derated_Capacity_kW,BECCS_Derated_Capacity_kW,Hydrogen_Derated_Capacity_kW,Battery_Derated_Capacity_kW,CCGT_Capacity_kW,OCGT_Capacity_kW,Coal_Capacity_kW,Nuclear_Capacity_kW,Wind Offshore_Capacity_kW,Wind Onshore_Capacity_kW,Solar_Capacity_kW,Hydro_Capacity_kW,Biomass_Capacity_kW,BECCS_Capacity_kW,Hydrogen_Capacity_kW,Battery_Capacity_kW
11,637500.0,460000.0,0,3555900.0,96000.0,35700.0,0.0,0.0,36960.0,0.0,0.0,0,750000,500000,0,4390000.0,400000,210000.0,200000.0,0.0,42000,0,0,0
12,1062500.0,920000.0,0,810000.0,84000.0,45900.0,0.0,77280.0,73920.0,440000.0,0.0,0,1250000,1000000,0,1000000.0,350000,270000.0,100000.0,92000.0,84000,500000,0,0
13,1275000.0,460000.0,0,0.0,60000.0,15300.0,0.0,0.0,73920.0,0.0,0.0,0,1500000,500000,0,0.0,250000,90000.0,0.0,0.0,84000,0,0,0
14,1062500.0,920000.0,0,0.0,0.0,40800.0,0.0,0.0,61600.0,0.0,0.0,0,1250000,1000000,0,0.0,0,240000.0,200000.0,0.0,70000,0,0,0
15,637500.0,920000.0,0,0.0,108000.0,20400.0,0.0,0.0,86240.0,0.0,850000.0,0,750000,1000000,0,0.0,450000,120000.0,0.0,0.0,98000,0,1000000,0
16,637500.0,460000.0,0,0.0,120000.0,10200.0,0.0,0.0,36960.0,0.0,0.0,0,750000,500000,0,0.0,500000,60000.0,100000.0,0.0,42000,0,0,0
17,637500.0,460000.0,0,0.0,0.0,5100.0,0.0,0.0,24640.0,0.0,425000.0,0,750000,500000,0,0.0,0,30000.0,100000.0,0.0,28000,0,500000,0
18,1062500.0,460000.0,0,0.0,0.0,30600.0,0.0,0.0,86240.0,880000.0,425000.0,0,1250000,500000,0,0.0,0,180000.0,0.0,0.0,98000,1000000,500000,0
19,1487500.0,460000.0,0,0.0,48000.0,10200.0,0.0,0.0,98560.0,0.0,850000.0,0,1750000,500000,0,0.0,200000,60000.0,100000.0,0.0,112000,0,1000000,0
20,425000.0,0.0,0,1772280.0,72000.0,10200.0,0.0,0.0,86240.0,880000.0,0.0,0,500000,0,0,2188000.0,300000,60000.0,0.0,0.0,98000,1000000,0,0
21,1062500.0,2300000.0,0,0.0,0.0,25500.0,0.0,0.0,0.0,0.0,0.0,0,1250000,2500000,0,0.0,0,150000.0,100000.0,0.0,0,0,0,0
22,212500.0,460000.0,0,0.0,0.0,522070.00000000006,0.0,0.0,49280.0,440000.0,425000.0,0,250000,500000,0,0.0,0,3071000.0,200000.0,0.0,56000,500000,500000,0
23,1062500.0,920000.0,0,0.0,0.0,30600.0,0.0,0.0,61600.0,880000.0,850000.0,0,1250000,1000000,0,0.0,0,180000.0,200000.0,0.0,70000,1000000,1000000,0
24,212500.0,460000.0,0,0.0,0.0,30600.0,0.0,0.0,61600.0,440000.0,425000.0,0,250000,500000,0,0.0,0,180000.0,200000.0,0.0,70000,500000,500000,0
25,1487500.0,0.0,0,0.0,0.0,20400.0,0.0,0.0,73920.0,0.0,425000.0,0,1750000,0,0,0.0,0,120000.0,100000.0,0.0,84000,0,500000,0
26,637500.0,920000.0,0,0.0,96000.0,25500.0,0.0,0.0,61600.0,0.0,425000.0,0,750000,1000000,0,0.0,400000,150000.0,111000.0,0.0,70000,0,500000,0
27,1487500.0,0.0,0,2462400.0,108000.0,10200.0,0.0,0.0,24640.0,0.0,425000.0,0,1750000,0,0,3040000.0,450000,60000.0,300000.0,0.0,28000,0,500000,0
28,1487500.0,0.0,0,0.0,132000.0,20400.0,0.0,0.0,36960.0,880000.0,425000.0,0,1750000,0,0,0.0,550000,120000.0,0.0,0.0,42000,1000000,500000,0
29,425000.0,460000.0,0,810000.0,0.0,20400.0,0.0,0.0,61600.0,0.0,0.0,0,500000,500000,0,1000000.0,0,120000.0,100000.0,0.0,70000,0,0,0
30,850000.0,920000.0,0,0.0,108000.0,25500.0,0.0,67200.0,98560.0,1320000.0,425000.0,0,1000000,1000000,0,0.0,450000,150000.0,200000.0,80000.0,112000,1500000,500000,0
